time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.47916582082e-07,3.44415189752e-07,9.99979149255,0.000362438302026,0.00036537604057,0.0,-2.92026713235e-05,2.89326697285e-05,-0.00695026462529,0.0159905850331,0.0161064685852,0.0,400.1350422720253,401.59842046086527,401.4828541689304,402.9308623632219
0.12000000000000001,-1.33243353808e-05,1.3600289013e-05,10.0024704349,0.00161187952258,0.00120886546,0.0,-0.000496446283662,0.000527577624684,0.0962444689999,0.0290667208714,0.00961166312126,0.0,438.84503231690314,438.30571276067735,436.7026981243324,437.79198396890723
0.18,-7.53821089082e-05,9.27639072554e-05,10.0151953523,0.00318548568152,0.0016087591658,0.0,-0.00163236466736,0.00231355892144,0.327880557686,0.019837942218,1.47068987201e-06,0.0,477.6311363103899,476.8976767396579,476.8213464179775,476.1160077145495
0.23999999999999996,-0.000216251989836,0.000322194829627,10.043794583,0.00444412002099,0.00174348928905,0.0,-0.0030724057403,0.00549457019638,0.625311522545,0.0231634800335,0.00639343452965,0.0,496.5849232498684,497.05346309430115,494.5697213484812,494.81450213131444
0.3,-0.000438204062475,0.000749503015268,10.0844194295,0.00584916868714,0.00201165641563,0.0,-0.0043596141969,0.00889201776064,0.728788471275,0.0239206365697,0.000313196297417,0.0,439.761661062813,439.2577230452648,437.30760252785507,437.37072248019973
0.36000000000000004,-0.000740215047151,0.00140556793887,10.1304932605,0.00750753149218,0.0021662461445,0.0,-0.00571621823751,0.0131301366252,0.806952521338,0.0341959617279,0.0067573303036,0.0,430.59998725052986,431.1446648486536,429.65192588555226,430.5223056611778
0.4200000000000001,-0.00112661545429,0.00234676796694,10.1806538362,0.00990689792078,0.00225644348547,0.0,-0.00719022556123,0.0184579482284,0.865022289335,0.0495970931591,-0.0119092209094,0.0,423.4948606728082,421.8864122957548,424.79167142293545,426.11100226567174
0.48000000000000015,-0.0016089201311,0.00370519297946,10.238860027,0.0131644404583,0.00116808265553,0.0,-0.00878489147472,0.0271912992204,1.07500625172,0.0623288667654,-0.035067663971,0.0,471.9865846106018,470.1961282331116,471.00681345376967,471.9920578716482
0.5400000000000001,-0.00215224720781,0.00562693428511,10.3066542758,0.016782322361,6.28209961078,0.0,-0.00910109682832,0.03724609803,1.1846889142,0.0558931117879,-0.043088420376,0.0,440.7492925877973,440.0852750235299,442.1555181572217,441.6276464397918
0.6000000000000002,-0.00266509057943,0.00823495470928,10.3815192136,0.0202241563177,6.27980279397,0.0,-0.00773698656229,0.0500452681855,1.3106655853,0.0601530597576,-0.0300770011105,0.0,446.20424546815013,447.2643375323905,446.1064382851412,446.4563583377641
0.6600000000000003,-0.0030513529623,0.0116779148079,10.463519284,0.0246036652396,6.27752731852,0.0,-0.00493616129781,0.0651397535199,1.42252691551,0.0908207945305,-0.0622280054017,0.0,443.4004331611799,440.7505057715916,441.481220582781,444.0080374450375
0.7200000000000003,-0.00322133128284,0.0160990500078,10.5511953438,0.030731072438,6.27437419669,0.0,-0.000395421041091,0.0828059836266,1.49989143467,0.118383283446,-0.0380698665194,0.0,430.95328123894484,432.9881863836268,430.38496013242724,432.7202806993758
0.7800000000000004,-0.00306272300101,0.0217001320273,10.6432572833,0.0372966692878,6.27187667619,0.0,0.00591332822144,0.104572453692,1.56872169457,0.0778342304922,-0.0499003921378,0.0,429.19934325438675,428.1931397851783,431.56077762508477,428.13495340832566
0.8400000000000004,-0.00245196996665,0.0287976281516,10.741282844,0.0420582564722,6.26888883962,0.0,0.0147614160785,0.132505185852,1.69858751889,0.0822468326913,-0.0495919098768,0.0,449.32596658686174,449.34944734122524,448.22835852987924,448.59176970398306
0.9000000000000005,-0.00126220269762,0.0376281309784,10.846016049,0.0468733040605,6.26614218446,0.0,0.0251838589082,0.162331069063,1.79234818422,0.07592868083,-0.0390732042324,0.0,437.98178542068524,438.8543954706429,437.83934998676995,437.3187070834245
0.9600000000000005,0.000608319055909,0.0483491327052,10.9564458899,0.0516610200463,6.26386388317,0.0,0.0373987107894,0.195502012888,1.88846172989,0.0865788404281,-0.0358554681323,0.0,438.82696920064575,439.0932572844204,438.8375756402221,439.72582282222487
1.0200000000000005,0.00334467882445,0.0613920666457,11.0770245083,0.0570347069432,6.26146689237,0.0,0.0540829608766,0.239889476704,2.13036071771,0.0949401712385,-0.0497434817952,0.0,484.3880816242524,483.34190478739055,482.93371802002105,483.5699067808537
1.0800000000000005,0.00709918555886,0.0771179006161,11.2100693481,0.0640685310971,6.25789439194,0.0,0.071405487147,0.285023702196,2.30407406521,0.142741222463,-0.101100066347,0.0,465.28499181411735,461.2436463180814,463.7948316488959,467.5443050389441
1.1400000000000006,0.0120361228581,0.0958393827462,11.3553054103,0.0728189360746,6.25143668527,0.0,0.0939026526434,0.34004375942,2.53653856254,0.151405314641,-0.12572337417,0.0,483.34697139280286,481.4781988105133,482.52791315163773,483.1994945376437
1.2000000000000006,0.0184168158441,0.117916826259,11.5122928773,0.0818857711664,6.24388627016,0.0,0.119612801036,0.39684452944,2.69589439486,0.150525408676,-0.126074796059,0.0,462.8269230883673,462.7855362477146,461.7038510311961,461.6549903507397
1.2600000000000007,0.0264392678975,0.14345968452,11.6770876261,0.0907165688062,6.23648122473,0.0,0.148558240988,0.455470863564,2.79689349193,0.139481653568,-0.118576289547,0.0,444.92999619527313,445.5296625190554,445.7628491159998,444.87965469862013
