Action,Best_Score,Episode,Position_x,Position_y,Position_z,Reward
"[899.70889103336924, 899.86890308962188, 899.79225912445895, 898.93353897901386]",3613.289665466382,111,-0.2503424625598127,0.5546999649557732,50.210961459648175,1216.0902613860653
"[899.61437481035375, 899.9013935227681, 900.24017551404347, 900.38024185085976]",3613.289665466382,112,1.0392918483929476,0.25241443289178417,50.19919724146571,1215.8251883557332
"[899.58089845836389, 899.72126401963249, 900.17084152248117, 899.81409495807213]",3613.289665466382,113,2.762173288576489,0.6172083426235419,50.45619471846539,1217.7553894247837
"[900.08315201399773, 900.68949671787607, 900.12212030097521, 899.93163569040746]",3613.289665466382,114,1.0503176543243469,0.8898312413604619,50.24680995492947,1216.2876279665302
"[899.84728920337409, 899.44703566127851, 899.99557574675202, 899.96803803663863]",3613.289665466382,115,-1.0858833255978873,-1.9014765545098902,50.279595566200896,1216.4384367255234
"[899.82918246634404, 900.37824069345925, 899.50595485109295, 900.80363233655999]",3613.289665466382,116,-1.2797683471861667,-1.165467240703446,50.190386863053696,1215.7537671015843
"[900.26466246989321, 899.44330988888464, 899.77955149525201, 899.40426648501159]",3613.289665466382,117,0.12108981630490033,-2.2023061785605673,50.222868570187465,1216.1892014610253
"[900.34089076965518, 899.90115554788235, 899.97947359802629, 899.8976402683337]",3613.289665466382,118,-0.8080617489135938,-1.2488070320258364,50.21357259955547,1215.97928609629
"[900.04778217388969, 900.39564421972204, 900.70738974097105, 899.92386722881213]",3613.289665466382,119,1.315217376519484,1.6425733377590404,50.25133039024925,1216.210825354746
"[900.71191124829727, 899.8173988715115, 899.99500782508812, 899.6827176692567]",3613.289665466382,120,-0.9036360749926434,-0.9397579325528451,50.245309823945455,1216.227613090632
"[899.66263347699908, 899.79793128718791, 899.87770362109529, 900.22795528571521]",3613.289665466382,121,-0.08333434308201515,0.3608070920932734,50.21631443612757,1216.0718338065199
"[899.805936048582, 899.88184063695155, 900.1121210033491, 900.06989158190129]",3613.289665466382,122,-0.6765906872345624,-1.1779985218723583,50.21443812906662,1216.0150415731196
"[899.51696732061919, 900.31294756581963, 900.25752014994225, 900.17358472215915]",3613.289665466382,123,0.25130057000268785,-0.6383990245831498,50.22023019827765,1215.9712313877583
"[900.1899705521738, 899.89962598026125, 900.02266129138491, 900.26089663429696]",3613.289665466382,124,1.4090455742788652,0.8356291328387939,50.21185736812335,1216.0357094816354
"[900.47683738165449, 899.62991276409684, 900.05265554526511, 900.06350903127372]",3613.289665466382,125,0.9463459495086967,-0.061682345748210354,50.216932887281956,1216.0728584471187
"[900.17054812324454, 899.99869593109474, 899.78948883694363, 899.94296799907863]",3613.289665466382,126,1.137488380694828,-0.9973412320750366,50.19528989773088,1215.9359183237393
"[899.81894322355981, 899.61832118214079, 899.46234904176242, 899.7664504046295]",3613.289665466382,127,0.08346181547980368,1.8916962262143096,50.33098045695659,1216.7059743298184
"[900.16091800159961, 900.05571920691148, 899.36664579409933, 899.65638502017305]",3613.289665466382,128,1.5515353313652827,-0.11493557001273456,50.29405230970094,1216.621394296314
"[899.91519539412673, 899.94806101962126, 899.50404705783103, 900.64506989053291]",3613.289665466382,129,-0.11827533309968588,-1.21902171236135,50.22426512311312,1216.254783543565
"[899.75110672168182, 899.07070388174486, 898.90211519593117, 900.16569568159537]",3613.289665466382,130,0.9366848718467206,1.0867464681229526,50.22043035312713,1215.9985070298242
"[900.29661284915949, 899.81540869645312, 899.68626765866327, 899.84938505625178]",3613.289665466382,131,0.39542285648303416,-2.2410086356769563,50.182059221184694,1215.7515044596298
"[899.10012457179937, 899.63353684832907, 900.16930003497532, 900.07510454908572]",3613.289665466382,132,0.07865314244368457,-0.03137713908765549,50.25721268535662,1216.427506866015
"[900.68105735298445, 899.47300374506767, 899.93011752372479, 900.32059629504533]",3613.289665466382,133,1.6145775778135056,0.9008138678865103,50.295561992034784,1216.5535515085087
"[900.57574349216304, 899.92197286999181, 899.65573981225248, 899.71121753569741]",3613.289665466382,134,-0.7580944213822145,-0.38065925604872164,50.21083661715615,1216.1537264503984
"[900.60679295543946, 899.79817604261893, 900.6197033706726, 899.80439210074303]",3613.289665466382,135,-1.4794354364121118,-2.33478548494827,50.18988280592517,1215.7828397345343
"[900.49087564909223, 900.56791953665163, 899.78275674366103, 899.8090407136508]",3613.289665466382,136,0.8628618313280262,1.7725045771625103,50.32427832184117,1216.6211949097762
"[900.43282386096871, 899.59216402802372, 899.59998414391316, 900.16867333823018]",3613.289665466382,137,-1.1129404362191542,-0.4159670066136226,50.21749455430923,1216.241922782279
"[900.12083311814752, 899.99462811693593, 900.03833608458945, 900.02809413927616]",3613.289665466382,138,0.44650819721155666,0.25030624981999994,50.22307498427272,1216.1377588722066
"[899.75317467870138, 899.66354185810235, 899.82582847365973, 900.22182732886949]",3613.289665466382,139,1.987030257208681,-1.1179680950742656,50.316675060915784,1216.6939250667908
"[900.21797032087477, 899.95252314869549, 900.17713829287607, 899.80552125426016]",3613.289665466382,140,0.248356921567099,1.1110403474466604,50.26073232955593,1216.2077135038503
"[900.19630146449322, 900.18490354141215, 899.80592959987712, 899.73671887946182]",3613.289665466382,141,-0.5365505721387744,-1.2291073011032478,50.21014431304013,1215.9414742436395
"[899.99405442025079, 900.07337012011885, 899.74148211813963, 900.0235503744068]",3613.289665466382,142,-0.6038345778013682,-3.5512676811193256,50.29534756140772,1217.0209931584413
"[899.41797731111615, 900.47707647426864, 900.32059474993719, 900.15073462875739]",3613.289665466382,143,0.5035116759091453,-1.362057878628219,50.195463940900616,1215.8449047108843
"[899.71177035703533, 900.03826837904035, 900.56921512266717, 899.20586908179598]",3613.289665466382,144,-0.6979017015074375,-0.1105739083603728,50.20605687798752,1215.9893617584803
"[899.73232526507206, 899.2635478543433, 900.06353705259812, 900.05516558913507]",3613.289665466382,145,0.11591649719224675,0.051471941778226234,50.219853062612955,1216.152035503299
"[901.11294300496945, 900.02794339929221, 899.82506537456425, 900.34858691000704]",3613.289665466382,146,-1.3021532608698427,-1.339415029617,50.19539812582891,1215.814611645606
"[899.87889422250191, 900.0553118301317, 900.0660758687784, 900.07644975187827]",3613.289665466382,147,2.014663117541239,-0.6589322388280574,50.353230018998126,1217.1098836032365
"[899.98668101119256, 899.92367100393892, 899.41308828330739, 900.52595994845728]",3613.289665466382,148,0.054618253495996395,-0.1817574588227144,50.233002584201536,1216.4060159306537
"[899.44557828859524, 899.73639748287349, 900.13837905937885, 900.02645590101906]",3613.289665466382,149,-3.827686391938152,-1.0629137297493658,50.18090444988448,1215.723144565222
"[899.67096299502543, 899.89486135983384, 899.63107049527309, 900.03423841491622]",3613.289665466382,150,-2.006466035537665,0.10414487389879297,50.159057571167345,1215.2594810489022
"[900.09262014341334, 900.3882874060314, 899.80403880219581, 899.08676994604571]",3613.289665466382,151,0.4021745610023205,-0.5718525881417362,50.20976268385488,1216.106402268643
"[900.17735726542196, 899.68913462521016, 899.68934619689776, 899.70012298213703]",3613.289665466382,152,1.012606553419225,-3.0413030993258587,50.25686556584554,1216.1928752655854
"[900.12194026772386, 899.73088147128908, 900.96215481532465, 900.01367089221253]",3613.289665466382,153,0.8445151773640321,-1.2552685251555888,50.241340833961345,1216.2612950174373
"[899.71602050129832, 899.79478786757625, 899.69114823077041, 900.22047774321413]",3613.289665466382,154,-0.18939408928993423,0.5241310542562302,50.2406502392459,1216.2176373636541
"[899.61283639426097, 900.08959416904406, 899.89302437592426, 899.99630769653868]",3613.289665466382,155,0.4481557281463547,-0.5965620682038891,50.20006873738345,1215.9731009553145
"[899.69945014298605, 899.74059694308528, 899.5213754982766, 899.80274560903911]",3613.289665466382,156,0.9013151158689994,-0.8633069044756706,50.27940108918144,1216.5496975951746
"[899.9783455827918, 900.47208062129664, 900.09262950135201, 899.73997288216981]",3613.289665466382,157,-0.14047852404884387,0.5192315815220515,50.23861215421409,1216.1787897097788
"[900.11831324099444, 899.67914654437232, 900.46659625677296, 899.67145630721541]",3613.289665466382,158,0.49893243634314877,0.3053426482610914,50.19608555810964,1215.7156729596745
"[899.63175015796799, 899.7832757081577, 899.95417772885617, 900.39257493321782]",3613.289665466382,159,-0.5963820915024983,0.16994197008660852,50.24810839115197,1216.407548192426
"[900.62040337780502, 900.37273967118142, 899.9538621258979, 900.38703361662942]",3613.289665466382,160,-2.123640061005155,1.34259628416007,50.239038710027835,1216.3148585008864
"[900.04471715993043, 899.08279154141837, 899.451841189471, 900.19904560046268]",3613.289665466382,161,1.8162690071528553,0.5003363520663142,50.29267322316862,1216.3176762221822
"[900.43480161366062, 900.33447612219118, 900.14251748804008, 900.12225058804063]",3613.289665466382,162,3.5527809895680025,-0.9895244314123882,50.7733411492337,1219.2670648745027
"[900.05955953277532, 899.58801462607471, 900.19396910237742, 899.57411141535204]",3613.289665466382,163,-0.2994566862705075,0.5291279018841281,50.250340316601566,1216.35491369346
"[900.03030884948464, 899.48710711036767, 900.6476455606221, 899.51809499014416]",3613.289665466382,164,-2.36177714171729,-0.7605148811048711,50.18875835793893,1215.6161229051113
"[900.44113461392851, 900.01211426307464, 899.75883948331386, 900.30907606204812]",3613.289665466382,165,-1.3761262438065724,-1.0737879198080966,50.23826456210629,1216.2686673384908
"[899.82107491705028, 899.95312637479822, 900.30094138548827, 899.79010611453452]",3613.289665466382,166,0.2992812862492759,-2.2496003965159814,50.23894691350108,1216.2350947474245
"[899.72185413252726, 900.06950087646305, 899.78887898277799, 900.15119932797847]",3613.289665466382,167,1.0417086091561594,-1.5492559731915376,50.214287539039596,1215.8256923335512
"[900.34023152847067, 900.98418181975319, 899.55875999880254, 899.89492850870113]",3613.289665466382,168,-0.23974138083385363,0.5867097248354615,50.22779673890369,1216.2382819433253
